<<<<<<< HEAD
4xaAYn9E,상위 20%,2024-12-05,(long ver) Sora,One Color size,정사이즈예요,보통이에요,화면과 비슷해요,156.0,51.0,55,잘 받았어요~ 배송도 빠르고요~ 옛날에 베이지색이랑 그래이색 샀는데 맘에 들어서 제구매했어요~ 파드 비침 없어서 너무 좋아요~
iQLLFCTl,알수없음,2024-12-04,(롱ver)크림,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,167.0,49.0,55,롱버전이 딱 좋은 것 같아요~~~! 가슴이 없는 편인데 몸에서 뜨지 않고 쫀쫀해서 입기 편합니다~~~!! 면도 부들부들해용
UDrKnWlq,알수없음,2024-11-25,(기모롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,157.0,50.0,55,"너무 재질이 좋고 편해요
가디건이랑 걸쳐입으면 좋아요
색상도 아이보리인데 예쁜 화이트느낌도 나고
가슴부분도 울지않아 좋아요"
UkhZvshg,상위 15%,2024-11-23,(벨로아ver)블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,57.0,55,벨벳 브라운 입고 괜찮아서 블랙 추가주문했어요! 가슴뽕이 불편해서 가슴이 큰편이라 안쪽으로 살짝 찢어서 뽕은 뺏어요 ㅠ 만족만족
h1hKL2Em,상위 30%,2024-11-13,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,158.0,49.0,55,"생각보다 캡이 단단해요
탑으러서 기능은 좋은데 빨면 어떨지 살짝 걱정됩니다
길이 배꼽가리는 정도라 여기저기 입기 좋아요"
VmI0zyrJ,알수없음,2024-10-26,블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,157.0,42.0,44,화이트 구매해서 입어보고 좋아서 블랙도 추가 구매했어요 정말 부드럽고 좋아요! 🤩 157 기준 배꼽이 살짝 보이는 기장입니다
vX36lGKp,상위 30%,2024-10-18,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,159.0,53.0,55,애낳은 아기 엄마여서 롱으로 삿는데 좀 짧아요 셔츠랑 같이 매치하면 예쁘게 입을수 있을거 같아요 질는 부들부들한 소재입니다
XaE4oG2g,상위 30%,2024-10-17,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,156.0,48.0,55,"75B 가슴이 조금 쳐진 스타일입니다🙈
단독으로 입는 게 맞겠죠?
절대 가슴 지지 안되고 가슴 가리개인데
지지가 안되다 보니 입고 다니다보면 가슴 위로 올라갑니다.
리뷰글 보고 칭찬이 자자해서 구입했는데 조금 아쉽..."
jliPGve6,상위 15%,2024-10-10,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,165.0,52.0,55,"받았을 때 좀 작아보였는데
막상 입으니까 속옷 안입고 요거만 입어도 핏도 괜찮고
편하더라구요?!

다만 끈이 엄청 얇아서 끊어질까봐 걱정했는데
다행히 그러진 않았어요 ㅋㅋ

사진은.. 갈비가 많이 나온 사람이라 저런데
다른분들은 안그럴거에요
여름에 잘 입어 질 듯!"
orDbsTqv,상위 30%,2024-10-02,(롱ver)그레이,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,51.0,44,"끈이 얇아서 몇번 입고 나면 뜯어진다는 타사 제품들도 많은데 여기꺼는 아무리 입고 날뛰어도 그럴 일이 없어요! 캡이 들어 있어서 몸매 보정도 되고 면도 부들부들해서 작년에 이어 올해도 겟또 했습니다!
캡 부착되어 있는 끈나시가 필요하다? 이 제품 사면 됩미두!!"
zjqdiPmt,알수없음,2024-09-14,(롱ver)크림,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,55.0,55,"후기가 좋아서 구매하려보니 다 품절이더라고요ㅠㅠ
재고 있는거로 시켰는데 너무 예뻐서 다른색도 주문하려고요!!!!
깔별로 다 갖고싶어요
품절인 이유가 있네요 진짜!!!
빨리 재고 채워주세요~"
0814***,알수없음,2024-09-09,(롱ver)블랙,one size,작아요,별로예요,화면과 비슷해요,161.5682302771855,51.50699677072121,55,"냄새 심각합니다
지그재그 첫 이용해봤는데 많이 실망이네요
뭐 중국 사이트에서 구매하는거랑 별 다를게없어요
다른거 가격 10 배 네요
뽕도 잘 움직이고 고정이 안되어있어요
중요한건 끈이 엄청 잘 늘어나는 그런 끈에
안쪽면은 엄청 얇아서 똑같이 잘 늘어나서 입어도 얼마 못입을거같아요"
=======
﻿아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,옷종류,사이즈번호
jNjPWy5y,Nan,2025-01-09,그레이,,작아요,아주 만족해요,화면과 비슷해요,160cm,51kg,상의 55,"겨울에 떠나는 해외 여행이라
용기내어(?) 민소매 티셔츠를 사봤어요
색감은 딱 제가 원하던 회색 그 자체이구요
마감 처리도 잘 되어 있어서 아주 마음에 듭니다
신축성도 좋고 쉽게 늘어날 천도 아닌 것 같아
아주 만족합니다",상의 ,55
jNjPWy5y,Nan,2025-01-09,크림베이지,,작아요,보통이에요,화면과 비슷해요,160cm,51kg,상의 55,"아이들 겨울방학 동안 더운 나라 여행을 계획하고 있어서
딸내미랑 함께 입으려고 구입했어요
기본 디자인이라 더 눈이 가더라구요
색상 선택을 생각과 다른 색상으로 선택했더라구요
그런데 그게 더 좋아요
박음질이 깔끔하고 마무리가 잘 되어 있어 너무 마음에 들어요",상의 ,55
JlOmxeDB,상위 5%,2025-01-07,챠콜브라운,,정사이즈예요,보통이에요,화면과 비슷해요,157cm,49kg,상의 44,"여름부터 간 보다가 반년만에 그냥 지름. 고민은 그냥 구매를 늦출 뿐이네요
색감은 딱 뮤트톤 브라운색이라 마음에 듭니다 기장도 크롭하지 않아서 좋아요 근데 넥라인이 좀 답답?한 감이 있네요... 그래도 겨드랑이살은 살짝 커버되는 편입니다",상의 ,44
듐듐,상위 5%,2024-12-04,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,163cm,52kg,상의 55,"크림베이지로 먼저 구매하고 핏이랑 탄탄한 느낌이 너무 마음에 들어서 블랙으로 재구매했어요! 

부유방 부각이 안된다는 다른 리뷰 보고 구매했는데, 정말 부유방쪽을 잘 잡아주더라구요. 허리가 길고 가늘고, 팔뚝 뒤쪽 살이 잘 찌는 체형인데 딱 예쁘게 맞더라구요.

여름에 단독으로 착용하기 예쁜 디자인이에요",상의 ,55
34vnYeFL,상위 20%,2024-11-29,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,46kg,상의 44,퀄리티가 아주 좋습니다 탄탄하고 부드러워요 목이 짧은 편이라 목 부분이 살짝 파인걸 좋아하는데 유교걸 입장에서 민소매인데 너무 파인게 싫었어요 목부분이 쇄골 아래만큼 올라와서 적당한 것 같아요 잘입겠습니다,상의 ,44
gusd*****,상위 15%,2024-11-22,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,169cm,53kg,상의 55,"아 진짜 맘에 들어요🥹🥹
스파브랜드랑 퀄리티 비슷한 거 같아요 쫀쫀
부유방 가려주고 몸매 보정 돼여!
급하게 주문해야했는데 전날 밤 11시에 시키니까 다음날 오후 1시30분쯤 도착했네요ㅠ최고…
그레이 컬러도 넘 예뻐요",상의 ,55
Pn9idfHn,상위 5%,2024-10-24,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"여름에 이너로 입으려고 샀는데 퀄리티가 넘 좋아서 단독으로도 입고 다녔어요! 팔부분이 두꺼워서 속옷 끈도 안보이고 좋아요! 내년까지 입을 수 있을 거 같아요
다만 한 여름에 입기에는 좀 많이 덥긴 해요ㅠㅠ
검정색이라서 그런지 땀 흘리면 마지막 사진처럼 남는데 모르고 돌아다녔네요ㅜㅜ 조심하세요",,
Etu5LZgK,상위 15%,2024-10-13,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,49kg,상의 55,재질 보이시나요?? 완전 쫀쫀해요. 이번 여름 완전 교복템으로 입고 다녔어요!! 색상은 사진으로 보이듯이 완전 아이보리 그자체고요 부담스럽지 않았어요. 가을 겨울에도 레이어드해 입기 좋을 것 같아요!!,상의 ,55
이까미,탑리뷰어,2024-10-07,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,47kg,상의 44,요기 나시 두번째 구매로써 솔직후기 남겨드리면 일단 초반에는 쫀쫀하고 부유방 다 가려줘용! 근데 좀 자주 입고 다니니까 부유방 가려주는게 좀 느슨해지고 전체적으로 쫀쫀 나시보다는 걍 헐렁헐렁 나시느낌? 근데 늘어짐도 그렇게 안 심하고 좋아서 그냥 휘뚜루마뚜루 다 입어요 굿굿,상의 ,44
FRdVcQaI,상위 5%,2024-10-04,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,54kg,상의 44,"이번 여름 블랙과 크림을 구매해서 잘 입고 있는 중에 가을 맞이 컬러로 추가 구매했는데 여전히 쫀쫀하고 재질이 부드럽고 좋네요🙃
먼저 산 블랙과 크림도 여러번 세탁해도 쫀쫀함을 유지하고 있어 큰 불편함없이 잘 입고 있답니다😊",상의 ,44
wzyeXBso,상위 30%,2024-09-29,소프트라임,,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,60kg,상의 66,"진짜 올 여름 주구장창 잘입었던 나시 !!!
나시 여러개 입어봤지만
이거만큼 쫀쫀하고 부유방 잘 가려지는 거 못찾았어요 ...
오떻게 부유방이 이리 싹 잘 가려지나요🥹🥹🩵

마르지 않은 저도 쫀쫀하게 잡아줘서 부담스럽지 않았구요! 특히 색감이 미쳐요 ㅜ.ㅜ
흰바지, 생지, 연청 뭐든 다 잘어울리는 색감이고
특히 여행지가서 입었을 때 빛을 발하는 나시..❤️

다음 여름에는 여기서 나시 깔별로 사서 입고 싶어요

나시 입문하시는 분들께 와안전 추천!",상의 ,66
Lvjgip3P,상위 15%,2024-09-28,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,174cm,54kg,상의 66,부유방 진짜 하나도 안 보이고 몸에 촥 붙는게 좋아요 엄청 쫀쫀하고 데일리로 잘 입을 것 같아요 이걸 샀을때 날씨가 막 추워져서 걱정했는데 아직 낮에는 엄청 더워서 나시 입으니까 원하고 좋더라구요,상의 ,66
0iBPE3MH,상위 5%,2024-09-27,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,52kg,상의 55,"셔츠나 가디건 안에 입으려고 샀는데 골지라 쫀쫀하고 잘 늘어나서 크지도 작지도 않게 몸에 착붙이었어요🤩 길이도 딱 이너로 입기 좋았고 부유방도 잘 가려줍니당 두께도 적당하고 소재도 부드럽고, 무엇보다 끝마감이 좋아서 오래 입을 수 있을 것 같아용 색도 오묘한 다크 브라운이라 어디에나 코디하기도 쉬울 듯 합니다 짱👍",상의 ,55
yTLLjok5,상위 10%,2024-09-18,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,172cm,61kg,상의 55,진짜 강추템입니다!! 목라인이랑 암홀부분 깊게 파여있지 않아서 가슴팍 보일 걱정 하지 않아도 되고 부유방쪽도 잘 잡아줘요 기장도 짧지 않아서 너무 편하게 잘 입고 다녔습니다 색상도 예쁘고 재질도 좋아서 세탁 여러번 했는데 아직도 도톰하고 보풀도 없네요 나중에 다른 색상도 추가 구매할 의향 있습니다🥰,상의 ,55
h0Eik75G,상위 25%,2024-09-18,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,50kg,상의 55,아주 좋아요! 부유방때문에 나시입을생각은 하지도 않았는데 부유방가려준대서 속는셈치고 사봤어요. 진작에 살걸 그랬어요. 단점 다가려줘서 너무 좋아요. 나시에 남방입으니까 너무 좋네요. 면도 쫀쫀하고 좋아요. 흰색도 사고 좋아서 흰검회색 하나씩 더 쟁여놨어요.,상의 ,55
h0Eik75G,상위 25%,2024-09-18,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,50kg,상의 55,아주 좋아요! 부유방때문에 나시입을생각은 하지도 않았는데 부유방가려준대서 속는셈치고 사봤어요. 진작에 살걸 그랬어요. 단점 다가려줘서 너무 좋아요. 나시에 남방입으니까 너무 좋네요. 면도 쫀쫀하고 좋아요. 흰색도 사고 좋아서 흰검회색 하나씩 더 쟁여놨어요.,상의 ,55
룩케터,탑리뷰어,2024-09-17,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,55kg,상의 55,"짱짱한 나시티 찾는다면 추천드리고 싶은 나시
목라인까지 올라와서 유교걸st 나시로 제격입니다

부유방도 잘 가려주고 전체적으로 짱짱하고
밑단 기장까지도 넣입 빼입하기 좋았습니다.

약간 쭈리소재라서 땀이나도 회색임에도 불구하고 티가 안나서 좋았어요

팔뚝살이 너무 개방이라 저는 가디건으로 살짝 가려서 입거나 앞으로 쌀쌀해지면 가을에는 외투에 입을려구요

무료배송일때 단품으로 샀는데
담에도 이벤트하면 다른색 재구매할려구요!",상의 ,55
1234****,상위 10%,2024-09-14,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,171cm,66kg,상의 66,리뷰 남길 때 색감 잡느라 힘들었네요 ㅎㅎ ㅠㅠ 그 정도로 실제 색감이 더 맘에 들어요 ~~ 나시 사고 잘 샀다고 생각하는 날이 오다니 다행입니당 다만 슬앤은 항상 .. 실밥 같은 마무리가 별로예요 ㅠㅠ.. 검수 좀만 더 신경 써주세요 제발 !! 구매자가 더 늘어날 겁니다 !!,상의 ,66
h0Eik75G,상위 25%,2024-09-09,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,50kg,상의 55,아주 좋아요! 부유방때문에 나시입을생각은 하지도 않았는데 부유방가려준대서 속는셈치고 사봤어요. 진작에 살걸 그랬어요. 단점 다가려줘서 너무 좋아요. 나시에 남방입으니까 너무 좋네요. 면도 쫀쫀하고 좋아요. 흰색도 사고 좋아서 흰검회색 하나씩 더 쟁여놨어요.,상의 ,55
HB6gjbaV,Nan,2024-09-04,소프트라임,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,53kg,상의 55,라임색 너무 이뻐요!! 어두운 피부톤에도 잘 어울리고 날씬해보여서 맘에 쏙 들어요ㅎㅎ 제가 입은거 보고 이쁘다고 지인이 둘이나 같은 걸로 구매했네요~ㅎㅎ 그만큼 강추해요! 많이 먹으면 배에 힘주긴 해야하는데..그만큼 라인이 잡혀서 늘씬해보이긴해요 탄탄해서 금방 늘어날것같지도 않아서 맘에 드네요! 그리고 슬로우앤드는 검수했다는 표시랑 같이 포장이 잘 되어와서 더 좋아용ㅎㅎ 담에는 다른색도 사보고싶네요~~ ^^,상의 ,55
Jtn6Z8IV,Nan,2024-09-04,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,55kg,상의 55,부유방 잘 가려주고 넥라인이 높아서 활동하기에도 넘편해요~! 색깔도 찐해서 흰색 바지랑 매치 잘 해서 이쁘게 잘 입규 다녔습니다🤗 쫀쫀하구 부드럽구 기장 넉넉히 길어서 딱 편하게 입고 다니기 넘 좋아용 ☺️💕,상의 ,55
Pp8AzsHP,Nan,2024-11-24,챠콜브라운,,정사이즈예요,보통이에요,화면과 비슷해요,158cm,55kg,상의 55,"여행가서 입으려고 샀는데 들고가서 잘 입었어요~~
소재 짱짱하고 부유방 잘가려지고 좋아요 ㅋㅋㅋ
나시로만 입기엔 팔뚝때문에 부담스러워서 걸쳤지만 예뻐요~!",상의 ,55
r67DpSDf,Nan,2024-09-12,블랙,,작아요,보통이에요,화면과 비슷해요,160cm,53kg,상의 55,"한여름엔 너무 더울 것 같고 선선한 가을에 셔츠랑 입으면 딱 맞을것 같아영
그런데 너무 작네여 .. 착용감은 전 답답한 느낌 많이 들구 작았어요 ㅠㅠ 
부유방은 잘 가려주지만 소재가 두꺼워서 답답해요옹",상의 ,55
uTgdrR3p,Nan,2024-09-05,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,55kg,상의 66,"요즘 제 교복입니다!! 맨날 입어요!!
부유방 잘 가려줘서 단독으로 입기에도 부담스럽지 않고
이너로 입기도 좋아요!
처음 받았을 땐. 목 부분이 답답한 느낌이었는데 오히려 너무 파여있는 것 보다 부담스럽지 않게 입을 수 있었던 것 같아요!!",상의 ,66
HvIBXVhB,상위 15%,2024-12-27,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,152cm,53kg,상의 55,"재질도 좋고 부유방도 가려주고 허리숙여도 가슴 안보이고 몸매 좋아보이게 해주는 힙한 디자인 나시 
나시 사계절 내내 입어서 매일 평범한 디자인 몇개사서 돌려입다가 이젠 지겨워서 안에 입는거에도 좀 신경써보자 해서 사봤는데 기분 전환되고 겨울인데 나시만 입고 싶어짐",상의 ,55
유시코,상위 5%,2024-12-20,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,42kg,상의 44,여름엔 민소매를 즐겨입는편이라 제일 기본인 블랙으로 구매했어요! 사진상으로도 쫀쫀해보이길래 기대했는데 역시나 사이즈 딱 맞고 정말 편안해서 너무너무 마음에 들었어요! 하나쯤은 꼭 쟁여놓아야할 아이템❤️,상의 ,44
OtpNWS0e,상위 10%,2024-12-16,블루네이비,,정사이즈예요,보통이에요,화면보다 밝아요,166cm,60kg,,생각했던것 보다 쨍한 파랑색이 많이 도는 네이비였어요 ㅠ 저는 어두운 네이비를 생각했어서 이게 조금 아쉽긴한데 그래도 사이즈 잘 맞고 부유방도 잘 가려줘서 좋아요!! 다음에 다른색으로 사볼까 생각중입니당 좋아요!,,
morningjju,Nan,2024-12-16,소프트라임,,작아요,아주 만족해요,화면과 비슷해요,157cm,50kg,상의 44,너무 이쁜 메론색입니다 메론색은 처음이라 부담스러우면 어쩌나 걱정했는데 형광끼 없는 차분한 연두라 입었을때 얼굴이 동동 뜨는게 아니라 만족해요 목과 팔부분 시보리 탄탄하고 여행가서 단독으로도 잘 입을 것 같네요!🧚🏻🧚🏻,상의 ,44
jH60ELcL,상위 20%,2024-12-06,소프트라임,,작아요,아주 만족해요,화면과 비슷해요,159cm,56kg,상의 66,아 얘가.. 참 예쁜 누드라임 색상인데.. 사진에 잘 안찍혀서 아쉬워요 부유방 조금 가려주고 골지가 튼튼해서 오래 입을 수 있어요!! 그리고 넥 라인이 올라온 편이라 가슴 신경 안써도 된다는 점. 그치만 목이 짧은 편인 제게는 오히려 독.. 중독... 이건 overdose,상의 ,66
Kj5zaqrS,상위 20%,2024-12-05,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,47kg,상의 55,"작년 여름에 브라운 컬러 샀었는데 넘 잘 입어서 이번에 다른 컬러로 장만했어요 ㅎㅎ 핏도 날씬해보이고 부유방 확실히 가려줘서 넘 좋고요, 보통 나시 입으면 브래지어끈이 보이곤 하는데 이건 브래지어끈도 딱 가려줘서 좋아요 ㅎ 면 퀄리티도 좋습니다 ㅎ",상의 ,55
Kj5zaqrS,상위 20%,2024-12-05,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,47kg,상의 55,"작년 여름에 브라운 컬러 샀었는데 넘 잘 입어서 이번에 다른 컬러로 장만했어요 ㅎㅎ 핏도 날씬해보이고 부유방 확실히 가려줘서 넘 좋고요, 보통 나시 입으면 브래지어끈이 보이곤 하는데 이건 브래지어끈도 딱 가려줘서 좋아요 ㅎ 면 퀄리티도 좋습니다 ㅎ",상의 ,55
GGf7c6xe,상위 10%,2024-11-26,소프트라임,,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,44kg,상의 44,여름에 교복처럼 입었는데 할인하길래 이때다 싶어 바로 다른 컬러도 샀어요. 이거 진짜 핏 예뻐요! 제가 어디 좋다고 후기 잘 남기는 사람이 아닌데 세일 보자마자 추가로 쟁였을만큼 좋아요. 퀄리티도 좋고 핏도 정말 예쁘고 컬러도 좋아요. 기회 되면 다른 컬러 또 사려고요!,상의 ,44
gtBOv4Vx,Nan,2024-11-24,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,51kg,상의 55,색이 하얗고 마음에 들어요 쫀쫀한 편인데 부유방 가려주는 건 없어서 아주ㅜ조금 아쉬웠습니다! 그리고 저는 목이 좀 짧은 편인데 목 부분이 답답하게 느껴졌어용 그거 빼고는 마음에 들었어용,상의 ,55
VX9sNlO1,상위 15%,2024-11-23,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,50kg,상의 55,화이트 사고 좋아서 재구매했어요! 색은 이미지랑 똑같고 역시 두께가 있어서 하나만 입기도 좋고 안에 같이 입으면 따뜻해요! 그레이는 생각보다 재질이 다른거에 비해 부드럽다고해야하나? 다른건 쫀쫀한데 이건 부드러워요!! 잘입겠습니다,상의 ,55
rB6m64hj,상위 15%,2024-11-23,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,173cm,52kg,상의 66,"쫀쫀하니 오래 입을 수 있을 것 같아요 ㅎㅎ 
부유방도 가려주는 핏이라 부담 없이 잘 입고 다녔습니다! 
다만 .. 배송 받고보니 진한 얼룩이 2개나 있더라구요 ㅠ 세탁해보니 옅어지기는 했지만 아예 지워지지는 않는 얼룩인가봅니다 교환신청 하기에는 애매한 타이밍이었어서 그냥 빨아입었어요 얼룩에 크게 신경 쓰는 성격은 아니라 괜찮았지만 새옷에 지워지지 않는 얼룩 .. 다소 속상한 부분이었습니다 ..!!",상의 ,66
히파게,상위 20%,2024-11-10,챠콜브라운,,정사이즈예요,보통이에요,화면과 비슷해요,156cm,44kg,상의 55,"레이어드하려고 주문한건데 핏이 정말 애매합니다... 일단 레이어드로는 불가능할거고 진짜 터틀넥이면 그나마 괜찮은거같기도 하고 아닌거 같기도 하고 애매하네요ㅠ
목이 좀 더 파였으면 괜찮을텐데 그냥 여름에 단독으로 입어야할거같습니당...",상의 ,55
aidNaCQa,상위 30%,2024-11-06,소프트라임,,정사이즈예요,보통이에요,화면과 비슷해요,162cm,52kg,상의 55,"어깨가 넓고 팔뚝살많은데 묘하게 괜찮아보여요!
부유방을 가려줘서인지 ….
어차피 해외에서 입으려고 산거라 살 신경 안쓰고입을려고요!! 
색도 이쁘고 퀄리티도 좋아서 너무 만족스러워요~~",상의 ,55
hi7n5qXa,상위 10%,2024-11-03,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,42kg,상의 44,"기대없이 실패해도 고 하고 샀는데 너무 만좃스러워서 후기남겨요.
탄탄하고 질좋은 기본티 느낌 그대로입니다!
여름에 단독으로 입으려고 샀지만 가을에도 주구장창 니트 이너로 활용하는중…ㅎㅎ
벌써 10번이상 빨았는데도 아주 짱짱합니다
강추.",상의 ,44
옷찾아떠나는하이에나,상위 15%,2024-11-01,소프트라임,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,47kg,상의 44,"소프트라임색 얼굴에 형광등 톡 켜주는 색이에요 ㅎ_ㅎ
기본템 아이보리랑 같이 샀는데 너무 만족!
내년 여름에는 깔별로 쟁일 예정입니당..
내가 좋아하는 색 옷을 입으면 그날 기분이 참 좋은 것 같아요
아이보리/블랙이랑 이런 포인트색 하나 조합으로 추천드립니다!!! 💚",상의 ,44
sjm2***,상위 5%,2024-10-26,블루네이비,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,47kg,상의 44,저 이거 노랑색깔 사고 너무 맘에 들어서 하나 더 산거에요. 근데 벌써 많이 입었더니 살짝 쭈글쭈글해짐…. ㅋㅋㅋ 잘 늘어나는 재질이라서 가슴 낑김 등은 없지만 목이 늘어날 것 같구요. 부유방이 계속 나와서 집어넣어 줘야 됩니다.ㅋㅋㅎㅎㅎㅋㅋ 그럼에도 불구하고 두 개나 산 거 보면 핏이 얼마나 맘에 들었는지 아시겠죠?!?❣️,상의 ,44
pBWhdVaV,Nan,2024-10-23,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,165cm,50kg,상의 44,기본 이너로 입으려고 샀어요 보통 다른 나시들은 다 얇고 너무 파여서 더워도 단독 이너로 입기 좀 그랬는데 이건 넥 라인도 적당하고 안비치는 재질이어서 이너로 입기 너무 좋네요!!!!,상의 ,44
3uRwXNm8,Nan,2024-10-23,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,58kg,상의 55,"검은 색이고 안에 입다보니까 사진이 잘 안 보이는 관계로 설명으로 대신하겠습니다.
 옷 이름처럼 쫀쫀합니다. 몸에 착 감깁니다. 그러나 신축성이 좋아 활동하는데 불편함은 없었습니다. 제 개인적으로 허리라인을 잡아줘서 더 슬림해보이는 효과도 있는 것 같아요. 그리고 목이 라운드형태라 답답해보이지 않고, 어떤 옷을 걸쳐도 단정해보입니다. 
 만족스러워서 쟁여두고 입으려고 검정 2개, 아이보리2개 구매했습니다.",상의 ,55
RczH9N6O,Nan,2024-10-15,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,46kg,,"부유방 잘 가려진다고 해서 샀는데 너무 좋아요 
쫀쫀하고 색도 다크브라운이라 코디하기도 쉬워요
단독으로 입어도 예쁘고 이너로 입기에도 좋네용",,
mabbakwang,Nan,2024-09-25,소프트라임,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,48kg,상의 44,블랙이나 아이보리 컬러는 직진배송이 안 되길래 라임 컬러로 구매했어요. 어깨가 예쁘게 드러나는 핏이라 단독으로 입어도 부담 없을 것 같아요! 다른 색상도 쟁이고 싶어요,상의 ,44
Jo7tR5tC,상위 25%,2024-09-19,소프트라임,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,55kg,상의 55,"부유방 잘 가려주고 입으면 슬림해보여요 ㅎㅎ 
색상도 은은한 느낌이라 너무 맘에 들어요! 
단독으로도, 셔츠 안에 받쳐서도 잘 입고 있습니다~",상의 ,55
hr86****,상위 15%,2024-09-09,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"마감,두께,가격,배송 모든게 완벽합니다!!! 재구매 갑니다~~~
키가 168인데 길이도 너무 길지도 짧지도 않아요 그레이가 밝은거나 어두운거나 다 잘어울리는거 같네요",,
IwF1Yywt,상위 25%,2024-09-23,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,160cm,50kg,,"유교걸인데 여름에 나시입고 셔츠 걸치려고 구매함.
원하는 나시는 목 많이 파이지 않고 부유방을 완벽히 가려줘서 이너가 티인지 나시인지 아무도 알아채지 못하는 거였는데 목부분은 완벽했지만 부유방은 살짝 드러남. 
결론은 회사에 정말 자주 입고다니고 있다👍",,
h0Eik75G,상위 25%,2024-09-09,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,50kg,상의 55,아주 좋아요! 부유방때문에 나시입을생각은 하지도 않았는데 부유방가려준대서 속는셈치고 사봤어요. 진작에 살걸 그랬어요. 단점 다가려줘서 너무 좋아요. 나시에 남방입으니까 너무 좋네요. 흰색도 사고 좋아서 흰검회색 하나씩 더 쟁여놨어요.,상의 ,55
G1LYZUgx,상위 15%,2024-12-04,소프트라임,,정사이즈예요,보통이에요,화면과 비슷해요,173cm,60kg,상의 55,여름에 살까말까 고민하다가 겨울에 샀네요 ㅋㅋㅋㅋ 출근룩으로 셔츠나 가디건 입을때 안에 민소매나 반팔이 유넥 종류밖에 없어서 좀 부담스러웠는데 라운드넥으로 안정감있게 입을수 있어서 좋더라구요. 지금부터 여름까지 쭉 입으려고요.,상의 ,55
G1LYZUgx,상위 15%,2024-12-04,크림베이지,,정사이즈예요,보통이에요,화면과 비슷해요,173cm,60kg,상의 55,여름에 살까말까 고민하다가 겨울에 샀네요 ㅋㅋㅋㅋ 출근룩으로 셔츠나 가디건 입을때 안에 민소매나 반팔이 유넥 종류밖에 없어서 좀 부담스러웠는데 라운드넥으로 안정감있게 입을수 있어서 좋더라구요. 지금부터 여름까지 쭉 입으려고요.,상의 ,55
